Timestamp(ms),Current(uA),D0-D7
4560,732.980,00000000
4570,726.886,00000000
4580,733.082,00000000
4590,728.036,00000000
4600,733.422,00000000
4610,727.298,00000000
4620,732.862,00000000
4630,727.184,00000000
4640,732.408,00000000
4650,726.950,00000000
4660,731.859,00000000
4670,726.233,00000000
4680,731.384,00000000
4690,726.041,00000000
4700,730.887,00000000
4710,725.916,00000000
4720,730.733,00000000
4730,725.684,00000000
4740,729.956,00000000
4750,725.107,00000000
4760,730.506,00000000
4770,724.732,00000000
4780,729.829,00000000
4790,725.109,00000000
4800,730.901,00000000
4810,726.113,00000000
4820,729.999,00000000
4830,724.909,00000000
4840,729.885,00000000
4850,725.348,00000000
4860,732.607,00000000
4870,728.347,00000000
4880,738.100,00000000
4890,731.975,00000000
4900,744.462,00000000
4910,737.853,00000000
4920,756.178,00000000
4930,748.058,00000000
4940,772.527,00000000
4950,762.148,00000000
4960,790.019,00000000
4970,775.634,00000000
4980,800.967,00000000
4990,779.981,00000000
5000,799.955,00000000
5010,776.172,00000000
5020,790.950,00000000
5030,767.875,00000000
5040,779.547,00000000
5050,758.105,00000000
5060,767.308,00000000
5070,748.751,00000000
5080,755.950,00000000
5090,742.699,00000000
5100,746.161,00000000
5110,733.278,00000000
5120,737.569,00000000
5130,729.571,00000000
5140,738.307,00000000
5150,732.356,00000000
5160,750.213,00000000
5170,745.449,00000000
5180,774.471,00000000
5190,768.847,00000000
5200,807.502,00000000
5210,795.503,00000000
5220,831.587,00000000
5230,809.299,00000000
5240,834.917,00000000
5250,803.584,00000000
5260,816.889,00000000
5270,784.951,00000000
5280,792.352,00000000
5290,764.795,00000000
5300,770.104,00000000
5310,749.881,00000000
5320,754.832,00000000
5330,741.599,00000000
5340,747.359,00000000
5350,736.153,00000000
5360,741.454,00000000
5370,732.485,00000000
5380,737.507,00000000
5390,729.228,00000000
5400,734.100,00000000
5410,727.606,00000000
5420,732.546,00000000
5430,726.924,00000000
5440,731.414,00000000
5450,727.121,00000000
5460,733.089,00000000
5470,727.063,00000000
5480,731.612,00000000
5490,726.698,00000000
5500,731.805,00000000
5510,726.463,00000000
5520,731.827,00000000
5530,726.411,00000000
5540,730.621,00000000
5550,725.251,00000000
5560,730.117,00000000
5570,725.193,00000000
5580,730.438,00000000
5590,725.672,00000000
5600,732.702,00000000
5610,727.532,00000000
5620,735.169,00000000
5630,729.466,00000000
5640,739.464,00000000
5650,732.922,00000000
5660,743.316,00000000
5670,735.080,00000000
5680,738.534,00000000
5690,734.094,00000000
5700,746.103,00000000
5710,735.873,00000000
5720,746.073,00000000
5730,735.781,00000000
5740,787.091,00000000
5750,783.023,00000000
5760,759.328,00000000
5770,743.153,00000000
5780,747.656,00000000
5790,734.730,00000000
5800,742.892,00000000
5810,742.913,00000000
5820,796.111,00000000
5830,758.499,00000000
5840,749.562,00000000
5850,736.039,00000000
5860,738.214,00000000
5870,728.872,00000000
5880,734.039,00000000
5890,764.039,00000000
5900,781.802,00000000
5910,738.334,00000000
5920,737.046,00000000
5930,725.908,00000000
5940,727.612,00000000
5950,721.761,00000000
5960,731.719,00000000
5970,780.314,00000000
5980,752.938,00000000
5990,731.329,00000000
6000,730.215,00000000
6010,722.664,00000000
6020,726.658,00000000
6030,722.383,00000000
6040,760.601,00000000
6050,775.686,00000000
6060,743.349,00000000
6070,731.897,00000000
6080,731.407,00000000
6090,724.583,00000000
6100,728.977,00000000
6110,725.034,00000000
6120,784.112,00000000
6130,755.607,00000000
6140,737.156,00000000
6150,728.290,00000000
6160,729.177,00000000
6170,722.775,00000000
6180,727.729,00000000
6190,748.080,00000000
6200,777.206,00000000
6210,739.058,00000000
6220,736.625,00000000
6230,726.588,00000000
6240,729.075,00000000
6250,722.704,00000000
6260,728.531,00000000
6270,774.381,00000000
6280,777.875,00000000
6290,738.182,00000000
6300,740.733,00000000
6310,730.480,00000000
6320,736.879,00000000
6330,729.201,00000000
6340,757.780,00000000
6350,781.617,00000000
6360,757.979,00000000
6370,739.050,00000000
6380,741.638,00000000
6390,731.161,00000000
6400,738.023,00000000
6410,729.192,00000000
6420,784.538,00000000
6430,778.642,00000000
6440,750.400,00000000
6450,737.113,00000000
6460,740.714,00000000
6470,731.295,00000000
6480,739.242,00000000
6490,747.057,00000000
6500,794.874,00000000
6510,753.266,00000000
6520,749.651,00000000
6530,735.150,00000000
6540,740.794,00000000
6550,731.341,00000000
6560,740.273,00000000
6570,775.175,00000000
6580,789.916,00000000
6590,745.178,00000000
6600,747.753,00000000
6610,733.621,00000000
6620,739.311,00000000
6630,729.848,00000000
6640,747.969,00000000
6650,782.647,00000000
6660,760.025,00000000
6670,739.107,00000000
6680,742.340,00000000
6690,731.443,00000000
6700,738.087,00000000
6710,729.935,00000000
6720,774.057,00000000
6730,778.793,00000000
6740,751.218,00000000
6750,738.460,00000000
6760,742.258,00000000
6770,732.126,00000000
6780,739.503,00000000
6790,736.103,00000000
