Timestamp(ms),Current(uA),D0-D7
6980,899.160,00000000
6990,879.230,00000000
7000,867.867,00000000
7010,872.287,00000000
7020,866.752,00000000
7030,871.963,00000000
7040,918.656,00000000
7050,921.561,00000000
7060,879.031,00000000
7070,878.456,00000000
7080,871.046,00000000
7090,875.625,00000000
7100,865.961,00000000
7110,915.141,00000000
7120,916.568,00000000
7130,889.377,00000000
7140,871.334,00000000
7150,874.395,00000000
7160,867.611,00000000
7170,867.834,00000000
7180,891.549,00000000
7190,923.570,00000000
7200,887.153,00000000
7210,876.716,00000000
7220,867.374,00000000
7230,872.073,00000000
7240,865.552,00000000
7250,887.772,00000000
7260,918.935,00000000
7270,899.042,00000000
7280,875.375,00000000
7290,875.557,00000000
7300,869.073,00000000
7310,874.142,00000000
7320,873.042,00000000
7330,933.039,00000000
7340,904.136,00000000
7350,883.879,00000000
7360,870.807,00000000
7370,875.175,00000000
7380,867.682,00000000
7390,873.701,00000000
7400,918.691,00000000
7410,918.021,00000000
7420,878.504,00000000
7430,876.367,00000000
7440,869.318,00000000
7450,875.760,00000000
7460,869.543,00000000
7470,912.687,00000000
7480,918.639,00000000
7490,892.367,00000000
7500,874.948,00000000
7510,879.747,00000000
7520,871.864,00000000
7530,873.870,00000000
7540,894.601,00000000
7550,925.492,00000000
7560,888.990,00000000
7570,882.285,00000000
7580,870.765,00000000
7590,875.751,00000000
7600,866.633,00000000
7610,887.552,00000000
7620,919.240,00000000
7630,898.296,00000000
7640,874.236,00000000
7650,876.406,00000000
7660,869.538,00000000
7670,875.920,00000000
7680,874.392,00000000
7690,934.457,00000000
7700,906.075,00000000
7710,884.298,00000000
7720,872.103,00000000
7730,876.789,00000000
7740,869.445,00000000
7750,845.964,00000000
7760,907.668,00000000
7770,920.708,00000000
7780,878.077,00000000
7790,875.994,00000000
7800,869.304,00000000
7810,874.564,00000000
7820,865.899,00000000
7830,914.256,00000000
7840,915.688,00000000
7850,888.195,00000000
7860,871.621,00000000
7870,876.100,00000000
7880,869.071,00000000
7890,873.547,00000000
7900,899.776,00000000
7910,925.351,00000000
7920,887.846,00000000
7930,879.353,00000000
7940,870.276,00000000
7950,875.346,00000000
7960,867.808,00000000
7970,887.812,00000000
7980,921.485,00000000
7990,900.037,00000000
8000,873.529,00000000
8010,874.085,00000000
8020,868.519,00000000
8030,873.666,00000000
8040,872.203,00000000
8050,932.765,00000000
8060,906.126,00000000
8070,882.327,00000000
8080,869.920,00000000
8090,874.230,00000000
8100,868.097,00000000
8110,871.376,00000000
8120,917.299,00000000
8130,920.588,00000000
8140,879.646,00000000
8150,877.579,00000000
8160,869.813,00000000
8170,874.255,00000000
8180,866.807,00000000
8190,913.723,00000000
8200,912.894,00000000
8210,886.819,00000000
8220,872.031,00000000
8230,875.030,00000000
8240,868.640,00000000
8250,871.179,00000000
8260,893.081,00000000
8270,924.406,00000000
8280,888.536,00000000
8290,880.621,00000000
8300,869.990,00000000
8310,874.271,00000000
8320,867.595,00000000
8330,887.421,00000000
8340,922.411,00000000
8350,900.225,00000000
8360,874.274,00000000
8370,874.181,00000000
8380,868.408,00000000
8390,872.900,00000000
8400,868.643,00000000
8410,928.769,00000000
8420,906.731,00000000
8430,884.011,00000000
8440,871.546,00000000
8450,875.795,00000000
8460,869.047,00000000
8470,873.113,00000000
8480,918.052,00000000
8490,921.558,00000000
8500,881.340,00000000
8510,878.795,00000000
8520,871.162,00000000
8530,874.481,00000000
8540,867.955,00000000
8550,913.134,00000000
8560,916.899,00000000
8570,887.683,00000000
8580,871.016,00000000
8590,873.509,00000000
8600,867.625,00000000
8610,871.511,00000000
8620,897.516,00000000
8630,922.998,00000000
8640,886.086,00000000
8650,876.665,00000000
8660,869.382,00000000
8670,871.807,00000000
8680,862.667,00000000
8690,888.030,00000000
8700,919.834,00000000
8710,895.964,00000000
8720,874.403,00000000
8730,874.135,00000000
8740,868.747,00000000
8750,872.904,00000000
8760,868.846,00000000
8770,928.586,00000000
8780,904.127,00000000
8790,881.259,00000000
8800,870.102,00000000
8810,872.730,00000000
8820,867.531,00000000
8830,869.832,00000000
8840,914.773,00000000
8850,917.564,00000000
8860,878.185,00000000
8870,874.270,00000000
8880,868.052,00000000
8890,871.568,00000000
8900,866.318,00000000
8910,910.947,00000000
8920,916.799,00000000
8930,886.943,00000000
8940,870.057,00000000
8950,873.052,00000000
8960,867.498,00000000
8970,871.594,00000000
8980,896.646,00000000
8990,922.149,00000000
9000,885.603,00000000
9010,878.177,00000000
9020,870.391,00000000
9030,873.402,00000000
9040,868.540,00000000
9050,859.600,00000000
9060,913.863,00000000
9070,896.594,00000000
9080,873.787,00000000
9090,872.421,00000000
9100,868.840,00000000
9110,871.271,00000000
9120,868.328,00000000
9130,927.319,00000000
9140,904.806,00000000
9150,880.819,00000000
9160,870.203,00000000
9170,872.386,00000000
9180,867.388,00000000
9190,869.985,00000000
9200,915.629,00000000
9210,918.766,00000000
9220,878.676,00000000
9230,873.151,00000000
9240,868.845,00000000
9250,871.261,00000000
9260,866.722,00000000
9270,910.332,00000000
9280,916.163,00000000
9290,885.555,00000000
9300,872.739,00000000
9310,872.703,00000000
9320,868.520,00000000
9330,866.084,00000000
9340,893.248,00000000
9350,920.610,00000000
9360,886.653,00000000
9370,874.450,00000000
9380,867.540,00000000
9390,869.396,00000000
9400,862.385,00000000
9410,883.568,00000000
9420,915.244,00000000
9430,893.977,00000000
9440,873.571,00000000
9450,872.109,00000000
9460,867.230,00000000
9470,869.672,00000000
9480,872.837,00000000
9490,929.462,00000000
9500,899.582,00000000
9510,878.337,00000000
9520,869.187,00000000
9530,870.373,00000000
9540,866.638,00000000
9550,869.722,00000000
9560,915.699,00000000
9570,917.840,00000000
9580,879.791,00000000
9590,873.229,00000000
9600,868.452,00000000
9610,869.617,00000000
9620,867.537,00000000
9630,907.763,00000000
9640,915.645,00000000
9650,885.097,00000000
9660,870.491,00000000
9670,870.951,00000000
9680,867.135,00000000
9690,865.995,00000000
9700,893.064,00000000
9710,918.471,00000000
9720,884.456,00000000
9730,874.338,00000000
9740,868.845,00000000
9750,870.709,00000000
9760,865.198,00000000
9770,885.891,00000000
9780,918.831,00000000
9790,896.534,00000000
9800,873.345,00000000
9810,871.238,00000000
9820,866.942,00000000
9830,869.454,00000000
9840,868.678,00000000
9850,926.579,00000000
9860,909.370,00000000
9870,879.309,00000000
9880,870.550,00000000
9890,870.994,00000000
9900,866.823,00000000
9910,869.069,00000000
9920,915.276,00000000
9930,917.118,00000000
9940,877.361,00000000
9950,871.721,00000000
9960,868.003,00000000
9970,870.078,00000000
9980,863.643,00000000
9990,905.889,00000000
10000,916.438,00000000
10010,883.939,00000000
10020,870.746,00000000
10030,871.437,00000000
10040,867.714,00000000
10050,866.593,00000000
10060,893.544,00000000
10070,919.281,00000000
10080,886.484,00000000
10090,874.945,00000000
10100,869.281,00000000
10110,870.231,00000000
10120,864.915,00000000
10130,883.866,00000000
10140,918.823,00000000
10150,893.647,00000000
10160,872.481,00000000
10170,870.822,00000000
10180,867.269,00000000
10190,868.761,00000000
10200,870.717,00000000
10210,926.622,00000000
10220,901.822,00000000
10230,877.328,00000000
10240,870.347,00000000
10250,870.866,00000000
10260,867.611,00000000
10270,867.485,00000000
10280,917.373,00000000
10290,915.870,00000000
10300,876.081,00000000
10310,871.960,00000000
10320,868.375,00000000
10330,869.302,00000000
10340,864.303,00000000
10350,905.012,00000000
10360,916.484,00000000
10370,883.366,00000000
10380,869.197,00000000
10390,870.248,00000000
10400,867.559,00000000
10410,865.980,00000000
10420,891.085,00000000
10430,917.928,00000000
10440,885.594,00000000
10450,872.875,00000000
10460,867.216,00000000
10470,868.721,00000000
10480,865.253,00000000
10490,883.856,00000000
10500,920.353,00000000
10510,894.192,00000000
10520,873.938,00000000
10530,870.211,00000000
10540,867.585,00000000
10550,868.795,00000000
10560,869.318,00000000
10570,925.613,00000000
10580,907.057,00000000
10590,877.147,00000000
10600,868.971,00000000
10610,869.789,00000000
10620,867.617,00000000
10630,866.012,00000000
10640,912.797,00000000
10650,915.970,00000000
10660,878.902,00000000
10670,870.653,00000000
10680,868.170,00000000
10690,868.821,00000000
10700,865.409,00000000
10710,904.041,00000000
10720,914.949,00000000
10730,875.764,00000000
10740,837.185,00000000
10750,820.180,00000000
10760,811.856,00000000
10770,811.262,00000000
10780,808.848,00000000
10790,809.407,00000000
10800,808.686,00000000
10810,810.577,00000000
10820,809.570,00000000
10830,810.620,00000000
10840,808.844,00000000
10850,881.624,00000000
10860,917.846,00000000
10870,932.494,00000000
10880,935.648,00000000
10890,939.003,00000000
10900,938.460,00000000
10910,939.665,00000000
10920,938.294,00000000
10930,938.507,00000000
10940,937.106,00000000
10950,938.275,00000000
10960,937.819,00000000
10970,939.372,00000000
10980,938.100,00000000
10990,938.948,00000000
11000,937.780,00000000
11010,939.298,00000000
11020,938.439,00000000
11030,939.504,00000000
11040,938.511,00000000
11050,939.614,00000000
11060,938.973,00000000
11070,940.324,00000000
11080,939.922,00000000
11090,940.090,00000000
11100,939.127,00000000
11110,935.817,00000000
11120,937.512,00000000
11130,938.870,00000000
11140,938.910,00000000
11150,939.943,00000000
11160,938.962,00000000
11170,940.039,00000000
11180,938.973,00000000
11190,940.051,00000000
11200,939.180,00000000
11210,939.863,00000000
11220,938.452,00000000
11230,939.237,00000000
11240,938.655,00000000
11250,939.309,00000000
11260,939.351,00000000
11270,940.066,00000000
11280,939.912,00000000
11290,939.972,00000000
11300,938.714,00000000
11310,939.442,00000000
11320,939.077,00000000
11330,939.843,00000000
11340,939.222,00000000
11350,939.142,00000000
11360,938.745,00000000
11370,939.400,00000000
11380,933.532,00000000
11390,936.994,00000000
11400,938.124,00000000
11410,938.465,00000000
11420,938.718,00000000
11430,938.997,00000000
11440,938.310,00000000
11450,938.813,00000000
11460,938.627,00000000
11470,938.995,00000000
11480,938.460,00000000
11490,938.634,00000000
11500,938.272,00000000
11510,938.667,00000000
11520,938.741,00000000
11530,938.490,00000000
11540,938.657,00000000
11550,938.744,00000000
11560,938.802,00000000
11570,939.362,00000000
11580,939.461,00000000
11590,940.034,00000000
11600,940.991,00000000
11610,940.962,00000000
11620,940.585,00000000
11630,940.468,00000000
11640,940.442,00000000
11650,940.072,00000000
11660,940.412,00000000
11670,939.643,00000000
11680,940.065,00000000
11690,940.674,00000000
11700,940.950,00000000
11710,940.162,00000000
11720,940.336,00000000
11730,939.338,00000000
11740,940.207,00000000
11750,939.520,00000000
11760,940.166,00000000
11770,939.345,00000000
11780,938.996,00000000
11790,938.419,00000000
11800,938.831,00000000
11810,938.743,00000000
11820,939.315,00000000
11830,939.095,00000000
11840,940.370,00000000
11850,940.100,00000000
11860,940.843,00000000
11870,941.331,00000000
