Timestamp(ms),Current(uA),D0-D7
4080,733.966,00000000
4090,726.538,00000000
4100,731.889,00000000
4110,760.638,00000000
4120,784.004,00000000
4130,741.162,00000000
4140,740.940,00000000
4150,729.156,00000000
4160,732.855,00000000
4170,726.097,00000000
4180,732.863,00000000
4190,781.021,00000000
4200,765.584,00000000
4210,738.369,00000000
4220,738.806,00000000
4230,729.718,00000000
4240,733.688,00000000
4250,726.670,00000000
4260,758.823,00000000
4270,777.196,00000000
4280,751.730,00000000
4290,737.178,00000000
4300,736.792,00000000
4310,728.453,00000000
4320,733.087,00000000
4330,726.370,00000000
4340,781.493,00000000
4350,774.079,00000000
4360,745.889,00000000
4370,735.018,00000000
4380,736.258,00000000
4390,728.422,00000000
4400,733.474,00000000
4410,745.927,00000000
4420,784.868,00000000
4430,749.124,00000000
4440,743.138,00000000
4450,731.731,00000000
4460,734.222,00000000
4470,726.890,00000000
4480,732.872,00000000
4490,768.873,00000000
4500,779.973,00000000
4510,741.850,00000000
4520,740.889,00000000
4530,730.086,00000000
4540,734.233,00000000
4550,727.735,00000000
4560,743.304,00000000
4570,779.465,00000000
4580,754.485,00000000
4590,735.683,00000000
4600,737.120,00000000
4610,728.298,00000000
4620,732.417,00000000
4630,726.818,00000000
4640,765.803,00000000
4650,774.618,00000000
4660,743.825,00000000
4670,734.241,00000000
4680,734.804,00000000
4690,727.433,00000000
4700,732.157,00000000
4710,730.266,00000000
4720,786.575,00000000
4730,755.211,00000000
4740,742.645,00000000
4750,733.213,00000000
4760,735.420,00000000
4770,727.796,00000000
4780,733.612,00000000
4790,754.824,00000000
4800,785.886,00000000
4810,742.528,00000000
4820,740.829,00000000
4830,730.136,00000000
4840,734.079,00000000
4850,727.537,00000000
4860,733.467,00000000
4870,780.608,00000000
4880,779.336,00000000
4890,738.850,00000000
4900,739.257,00000000
4910,730.046,00000000
4920,733.481,00000000
4930,727.456,00000000
4940,752.341,00000000
4950,780.637,00000000
4960,753.122,00000000
4970,736.135,00000000
4980,737.014,00000000
4990,728.276,00000000
5000,732.429,00000000
5010,726.223,00000000
5020,777.830,00000000
5030,775.440,00000000
5040,745.476,00000000
5050,734.279,00000000
5060,735.090,00000000
5070,727.211,00000000
5080,732.416,00000000
5090,739.313,00000000
5100,788.954,00000000
5110,751.412,00000000
5120,742.688,00000000
5130,731.693,00000000
5140,734.763,00000000
5150,726.953,00000000
5160,733.324,00000000
5170,765.826,00000000
5180,784.122,00000000
5190,741.787,00000000
5200,741.563,00000000
5210,730.094,00000000
5220,733.461,00000000
5230,727.536,00000000
5240,737.538,00000000
5250,785.052,00000000
5260,761.876,00000000
5270,738.128,00000000
5280,739.254,00000000
5290,729.972,00000000
5300,734.909,00000000
5310,728.944,00000000
5320,766.367,00000000
5330,781.946,00000000
5340,756.452,00000000
5350,742.640,00000000
5360,746.677,00000000
5370,736.593,00000000
5380,743.954,00000000
5390,735.207,00000000
5400,793.955,00000000
5410,776.347,00000000
5420,753.126,00000000
5430,740.131,00000000
5440,743.265,00000000
5450,732.147,00000000
5460,737.828,00000000
5470,751.516,00000000
5480,787.724,00000000
5490,750.520,00000000
5500,745.396,00000000
5510,732.947,00000000
5520,736.174,00000000
5530,728.453,00000000
5540,733.152,00000000
5550,771.206,00000000
5560,781.239,00000000
5570,741.007,00000000
5580,741.141,00000000
5590,730.149,00000000
5600,733.313,00000000
5610,727.293,00000000
5620,745.030,00000000
5630,779.587,00000000
5640,757.927,00000000
5650,737.755,00000000
5660,737.287,00000000
5670,729.143,00000000
5680,732.869,00000000
5690,727.281,00000000
5700,769.802,00000000
5710,775.187,00000000
5720,744.644,00000000
5730,734.544,00000000
5740,734.820,00000000
5750,727.492,00000000
5760,732.422,00000000
5770,733.063,00000000
5780,786.994,00000000
5790,751.905,00000000
5800,741.726,00000000
5810,732.768,00000000
5820,735.537,00000000
5830,726.963,00000000
5840,731.819,00000000
5850,755.583,00000000
5860,781.128,00000000
5870,740.021,00000000
5880,739.322,00000000
